input,output,instruction
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Leverage the input sentence to evaluate and define the entity type for '40 William St'.
Options: location, person, organization"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Considering the input sentence as context, inspect and classify the entity type of '40 William St'.
Options: organization, location, person"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"With the input sentence as a backdrop, scrutinize and determine the entity type of '40 William St'.
Options: organization, location, person"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Interpreting the input sentence as context, specify the entity type for '40 William St'.
Options: organization, location, person"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Assessing the input sentence as context, label the entity type of '40 William St'.
Options: person, location, organization"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"In the input sentence, determine the entity type for '40 William St'.
Options: person, location, organization"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Within the input text, identify the entity type of '40 William St'.
Options: location, person, organization"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Analyze the input sentence to find the entity type of '40 William St'.
Options: organization, person, location"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Check the input sentence for the entity type associated with '40 William St'.
Options: person, organization, location"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Explore the input sentence to ascertain the entity type of '40 William St'.
Options: person, location, organization"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Examine the input text to classify the entity type of '40 William St'.
Options: organization, location, person"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Scrutinize the input sentence to define the entity type of '40 William St'.
Options: location, person, organization"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"What is the entity type of '40 William St' in the input sentence.
Options: organization, location, person"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"With the input text as context, identify the entity type of '40 William St'.
Options: person, organization, location"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Using the input sentence as a reference, analyze and specify the entity type of '40 William St'.
Options: organization, location, person"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"In the context of the input sentence, examine and categorize the entity type of '40 William St'.
Options: person, location, organization"
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .",location,"Utilize the input text as context to explore and ascertain the entity type of '40 William St'.
Options: person, location, organization"
